Q,A,label
누가 때렸는지 말해줄 수 있나요?,"네, 아니오, 잘모르겠어요",0
누가 당신을 때렸나요?,{tag_people}가 때렸어요,1
누가 때렸는지 말해주세요.,{tag_people}가 때렸어요,1
누가 때렸는지 기억이 나면 말해주세요.,{tag_people}가 때렸어요,1
때린 사람이 누구인지 기억나요?,"네, 아니오, 잘모르겠어요",0
때린 사람이 누구인지 아나요?,"네, 아니오, 잘모르겠어요",0
때린 사람이 누구인지 말해줄 수 있어요?,"네, 아니오, 잘모르겠어요",0
때린 사람을 알려주세요.,{tag_people}가 때렸어요,1
누구에게 맞았는지 기억나요?,"네, 아니오, 잘모르겠어요",0
누구에게 맞았나요?,{tag_people}가 때렸어요,1
때린 사람이 누구였나요?,,1
때린 사람이 누구인지 기억나요?,,0
누가 때렸는지 기억나요?,,0
때린 사람이 누구였는지 말해주세요,,1
누가 때렸는지 말해줄 수 있어요?,,0
때린 사람이 누구인지 알아야해요. 때린 사람 기억나요?,,0
때린 사람이 기억나요?,,0
때린 사람이 누구인지 말해주세요.,,1
당신을 폭행한 사람이 누구인지 기억나요?,,0
당신을 폭행한 사람을 알려주세요.,,1
당신을 때린 사람이 누구인지 알려주세요.,,1
때린 사람이 정확히 누구인지 기억나요?,,0
때린 사람에 대해서 알고 있나요?,,0
폭행한 사람이 누구인지 말해주세요.,,1
당신을 때린 사람 기억나요?,,0
당신을 때린 사람을 모두 알려주세요.,,1
당신을 폭행한 사람을 말해주세요.,,1
당신을 폭행한 사람을 알아야해요. 알려줄 수 있나요?,,0
당신을 때린 사람이 누구인지 알고있나요?,,0
장애인님을 때린 사람을 모두 알려주세요.,,1
폭행한 사람을 모두 알려주세요.,,1
폭행한 사람이 누구인지 알고 있나요?,,0
당신을 폭행한 사람이 누구누구인가요?,,1
당신을 때린 사람을 모두 말해주세요.,,1
당신을 때린 사람이 기억나면 누구인지 말해주세요.,,1
누가 때렸는지 말해줄 수 있어요?,,0
당신을 때린 사람을 모두 말해주세요.,,1
당신을 때린 사람이 누구누구죠?,,1
장애인님을 폭행한 사람을 모두 알려주세요.,,1
장애인님을 때린 사람이 기억나나요?,,0
