Q,A,label
{tag_people}(이)가 당신을 때린 물건이 무엇이었나요?,{tag_object}였어요,1
뭘로 당신을 때렸는지 기억이 나요?,"네, 아니오, 잘모르겠어요",0
도구를 사용해서 때린게 맞나요? 맞다면 도구를 알려주세요. ,{tag_object}였어요,1
{tag_people}(이)가 무엇으로 때렸나요? ,{tag_object}였어요,1
{tag_people}(이)가 {tag_time}에 {tag_place}에서 때렸을 때 뭘로 때렸는지 기억나나요?,"네, 아니오, 잘모르겠어요",0
무엇을 사용해서 장애인님을 때린건가요?,{tag_object}였어요,1
맨손이 아니라면 어떤 도구를 사용했는지 말해주세요.,{tag_object}였어요,1
{tag_people}(이)가 당신을 때릴 때 뭔가를 들고 때렸나요?,"네, 아니오, 잘모르겠어요",0
{tag_people}(이)가 들고 때린게 뭐였는지 말해주세요.,{tag_object}였어요,1
{tag_people}(이)가 당신을 때릴 때 사용한 도구가 뭐였죠?,{tag_object}였어요,1
{tag_people}(이)가 손을 사용해서 때렸나요?,{tag_object}였어요,1
{tag_people}(이)가 도구를 사용해서 때렸나요?,"네, 아니오, 잘모르겠어요",0
{tag_people}(이)가 때릴 때 쓴 도구와 비슷한 물건을 알려주세요.,{tag_object}였어요,1
{tag_place}에서 {tag_people}(이)가 당신을 때릴 때 사용한 도구가 있었나요?,"네, 아니오, 잘모르겠어요",0
{tag_place}에서 {tag_people}(이)가 당신을 때릴 때 사용한 도구를 알려주세요.,{tag_object}였어요,1
{tag_people}(이)가 {tag_place}에서 장애인님을 폭행할 때 사용한 도구가 뭐였나요?,,0
{tag_people}(이)가 {tag_place}에서 장애인님을 때릴 때 사용한 도구를 알려주세요.,,1
{tag_people}(이)가 {tag_time}때 장애인님을 때릴 때 사용한 도구가 뭐였나요?,,1
{tag_place}에서 장애인님이 폭행한 도구를 알려주세요.,,1
{tag_people}(이)가 {tag_time}때 {tag_place}에서 무엇을 사용해서 때렸나요?,,1
{tag_people}(이)가 {tag_place}에서 장애인님을 때릴 때 사용한 물건이 기억나나요?,,0
{tag_time}때 장애인님을 때린 {tag_people}가 뭐를 사용했나요?,,1
{tag_people}(이)가 장애인님이 때릴 때 어떤 도구로 때렸나요?,,1
{tag_place}에서 당신을 때린 {tag_people}(이)가 사용한 물건이 기억나요?,,0
{tag_time}때 장애인님을 때릴 때 {tag_people}(이)가 사용한 물건이 뭔가요?,,1
{tag_place}에서 폭행을 당할 때 {tag_people}(이)가 무엇을 사용했나요?,,1
{tag_time}때 {tag_place}에서 장애인님을 때릴 때 사용한 물건이 있나요?,,0
{tag_people}(이)가 장애인님을 때릴 때 사용한 물건이 있나요?,,0
장애인님이 {tag_place}에서 {tag_people}한테 폭행을 당할 때 뭐로 맞았는지 기억나요?,,0
장애인님을 {tag_people}(이)가 때릴 때 사용한 물건을 전부 알려주세요.,,1
장애인님을 때릴 때 {tag_people}(이)가 사용한 도구가 있나요?,,0
장애인님이 폭행 달할 때 {tag_people}(이)가 사용한 도구를 모두 알려주세요.,,1
{tag_time}때 {tag_people}(이)가 장애인님을 때리면서 사용한 도구가 있나요?,,0
{tag_people}(이)가 당신을 때릴 때 사용한 도구를 모두 알려주세요.,,1
{tag_people}(이)가 도구를 사용해서 장애인님을 때린게 맞나요?,,0
