,Q,A,label,
누가,누가 때렸는지 말해줄 수 있나요?,"네, 아니오, 잘모르겠어요",0,
,누가 당신을 때렸나요?,{tag_people}가 때렸어요,1,
,누가 때렸는지 말해주세요.,{tag_people}가 때렸어요,1,
,누가 때렸는지 기억이 나면 말해주세요.,{tag_people}가 때렸어요,1,
,때린 사람이 누구인지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,때린 사람이 누구인지 아나요?,"네, 아니오, 잘모르겠어요",0,
,때린 사람이 누구인지 말해줄 수 있어요?,"네, 아니오, 잘모르겠어요",0,
,때린 사람을 알려주세요.,{tag_people}가 때렸어요,1,
,누구에게 맞았는지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,누구에게 맞았나요?,{tag_people}가 때렸어요,1,
,…,…,,"# {tag_people}, 가해자 정보 습득 후 다음 단계로"
어디서,{tag_people}한테 어디서 맞았나요?,{tag_place}였어요 ,1,
,{tag_people}(이)가 당신을 때린 장소가 어디에요?,{tag_place}였어요 ,1,
,{tag_people}이)가 때린 장소가 어딘지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,어디서 {tag_people}한테 맞았나요?,{tag_place}였어요 ,1,
,{tag_people}(이)가 어디서 때렸는지 알아요?,"네, 아니오, 잘모르겠어요",0,
,어디서 맞았는지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,어디서 맞았는지 알려주세요.,{tag_place}였어요 ,1,
,{tag_people}(이)가 어디서 아프게 했어요?,{tag_place}였어요 ,1,
,{tag_people}(이)가 아프게 한 장소가 어딘지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,{tag_people}(이)가 때린 장소를 알려주세요,{tag_place}였어요 ,1,
,...,...,,"# {tag_place}, 장소"
언제,언제 맞은건지 알려줄 수 있어요?,"네, 아니오, 잘모르겠어요",0,
,{tag_people}(이)가 언제 때린건지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,{tag_people}(이)가 때린게 언젠지 알려주세요.,{tag_time}이었어요,1,
,{tag_people}(이)가 {tag_place}에서 때린 때가 언제에요?,{tag_time}이었어요,1,
,{tag_place}에서 {tag_people}(이)가 때렸다고 했잖아요. 그게 언제에요?,{tag_time}이었어요,1,
,{tag_people}한테 맞은 날짜나 시간을 알려줄 수 있어요?,"네, 아니오, 잘모르겠어요",0,
,맞은 날짜와 시간을 알려주세요.,{tag_time}이었어요,1,
,"{tag_people}(이)가 당신을 때린 날짜, 시간을 알려주세요.",{tag_time}이었어요,1,
,방금 {tag_people}(이)가 {tag_place}에서 때렸다고 했잖아요. 그게 언제인지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,{tag_people}(이)가 때린 날짜와 시간이 기억나면 저한테 말해주세요.,{tag_time}이었어요,1,
,정확히 언제 {tag_people}(이)가 때렸는지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,...,...,,"# {tag_time}, 시간"
어떻게,{tag_people}(이)가 당신을 때린 물건이 무엇이었나요?,{tag_object}였어요,1,
,뭘로 당신을 때렸는지 기억이 나요?,"네, 아니오, 잘모르겠어요",0,
,도구를 사용해서 때린게 맞나요? 맞다면 도구를 알려주세요. ,{tag_object}였어요,1,
,{tag_people}(이)가 손으로 때렸나요? ,{tag_object}였어요,1,
,{tag_people}(이)가 {tag_time}에 {tag_place}에서 때렸을 때 뭘로 때렸는지 기억나나요?,"네, 아니오, 잘모르겠어요",0,
,그럼 맨손으로 때린건가요?,{tag_object}였어요,1,
,맨손이 아니라면 어떤 도구를 사용했는지 말해주세요.,{tag_object}였어요,1,
,{tag_people}(이)가 당신을 때릴 때 뭔가를 들고 때렸나요?,"네, 아니오, 잘모르겠어요",0,
,{tag_people}(이)가 들고 때린게 뭐였는지 말해주세요.,{tag_object}였어요,1,
,{tag_people}(이)가 당신을 때릴 때 사용한 도구가 뭐였죠?,{tag_object}였어요,1,
,{tag_people}(이)가 손을 사용해서 때렸나요?,{tag_object}였어요,1,
,{tag_people}(이)가 도구를 사용해서 때렸나요?,"네, 아니오, 잘모르겠어요",0,
,{tag_people}(이)가 때릴 때 쓴 도구와 비슷한 물건을 알려주세요.,{tag_object}였어요,1,
,{tag_place}에서 {tag_people}(이)가 당신을 때릴 때 사용한 도구가 있었나요?,"네, 아니오, 잘모르겠어요",0,
,{tag_place}에서 {tag_people}(이)가 당신을 때릴 때 사용한 도구를 알려주세요.,{tag_object}였어요,1,
