Q,A,label
{tag_people}한테 어디서 맞았나요?,{tag_place}였어요 ,1
{tag_people}(이)가 당신을 때린 장소가 어디에요?,{tag_place}였어요 ,1
{tag_people}(이)가 때린 장소가 어딘지 기억나요?,"네, 아니오, 잘모르겠어요",0
어디서 {tag_people}한테 맞았나요?,{tag_place}였어요 ,1
{tag_people}(이)가 어디서 때렸는지 알아요?,"네, 아니오, 잘모르겠어요",0
어디서 맞았는지 기억나요?,"네, 아니오, 잘모르겠어요",0
어디서 맞았는지 알려주세요.,{tag_place}였어요 ,1
{tag_people}(이)가 어디서 아프게 했어요?,{tag_place}였어요 ,1
{tag_people}(이)가 아프게 한 장소가 어딘지 기억나요?,"네, 아니오, 잘모르겠어요",0
{tag_people}(이)가 때린 장소를 알려주세요,{tag_place}였어요 ,1
{tag_people}(이)가 어디서 때렸는지 말해줄 수 있나요?,"네, 아니오, 잘모르겠어요",0
어디서 {tag_people}(이)가 때렸는지 말해줄 수 있어요?,,0
어디서 {tag_people}(이)가 때렸어요?,,1
{tag_people}한테 폭행을 당한 장소가 어디에요?,,1
{tag_people}한테 폭행을 당한 장소를 말해주세요.,,1
{tag_people}(이)가 폭행한 장소가 기억나요?,,0
장애인님이 {tag_people}한테 폭행당한 장소가 어딘가요?,,1
{tag_people}(이)가 장애인님을 폭행한 장소가 기억나세요?,,0
장애인님이 폭행당한 장소를 알려주세요.,,1
장애인님을 {tag_people}(이)가 때린 장소가 어딘지 기억나세요?,,0
{tag_people}(이)가 폭행한 장소를 알려주세요.,,1
장애인님이 어디서 폭행을 당했는지 알려주세요.,,1
{tag_people}(이)가 장애인님을 때린 장소가 어딘지 알려주세요.,,1
어디서 {tag_people}가 때렸는지 기억나세요?,,0
{tag_people}(이)가 장애인님한테 폭행을 가한 장소를 알려주세요.,,1
어디서 {tag_people}한테 맞았는지 기억나세요?,,0
장애인님을 {tag_people}(이)가 때린 곳이 어디인지 말해주세요.,,1
장애인님이 어디서 맞았는지 알려주세요.,,1
어디서 장애인님이 폭행을 당했는지 알려주실 수 있나요?,,0
{tag_people}한테 장애인님이 폭행을 당한 장소가 기억나나요?,,0
장애인님이 {tag_people}한테 맞은 장소를 알려주세요.,,1
{tag_people}(이)가 어디서 장애인님을 때린건지 기억나세요?,,0
장애인님이 맞은 장소를 알려주실 수 있나요?,,0
{tag_people}한테 어디서 맞았는지 알려주세요.,,1
어디서 폭행을 당한건지 알려주실 수 있나요?,,0
