Q,A,label
언제 맞은건지 알려줄 수 있어요?,"네, 아니오, 잘모르겠어요",0
{tag_people}(이)가 언제 때린건지 기억나요?,"네, 아니오, 잘모르겠어요",0
{tag_people}(이)가 때린게 언젠지 알려주세요.,{tag_time}이었어요,1
{tag_people}(이)가 {tag_place}에서 때린 때가 언제에요?,{tag_time}이었어요,1
{tag_place}에서 {tag_people}(이)가 때렸다고 했잖아요. 그게 언제에요?,{tag_time}이었어요,1
{tag_people}한테 맞은 날짜나 시간을 알려줄 수 있어요?,"네, 아니오, 잘모르겠어요",0
장애인님이 {tag_people}한테 맞은 날짜와 시간을 알려주세요.,{tag_time}이었어요,1
"{tag_people}(이)가 당신을 때린 날짜, 시간을 알려주세요.",{tag_time}이었어요,1
방금 {tag_people}(이)가 {tag_place}에서 때렸다고 했잖아요. 그게 언제인지 기억나요?,"네, 아니오, 잘모르겠어요",0
{tag_people}(이)가 때린 날짜와 시간이 기억나면 저한테 말해주세요.,{tag_time}이었어요,1
정확히 언제 {tag_people}(이)가 때렸는지 기억나요?,"네, 아니오, 잘모르겠어요",0
{tag_people}(이)가 장애인님을 때린 시간이 언제에요?,,1
{tag_place}에서 폭행을 당한 시간이 기억나요?,,0
{tag_place}에서 {tag_people}(이)가 때린 시간을 알려주세요.,,1
{tag_people}(이)가 장애인님을 때린 시간이 기억나요?,,0
장애인님이 {tag_people}한테 폭행을 당한 시간을 알려주세요.,,1
장애인님이 {tag_place}에서 폭행을 당한 시간이 기억나요?,,0
{tag_people}(이)가 {tag_place}에서 장애인님을 때린 시간이 언제인가요?,,1
{tag_place}에서 장애인님이 폭행을 당한 시간을 기억하세요?,,0
{tag_place}에서 장애인님이 {tag_people}한테 맞은 시간을 알려주세요.,,1
{tag_place}에서 장애인님이 {tag_people}한테 폭행을 다한 시간이 기억나나요?,,0
{tag_people}(이)가 장애인님을 폭행한 시간대를 알려주세요.,,1
{tag_people}(이)가 폭행한 시간대를 말해주세요.,,1
{tag_people}(이)가 {tag_place}에서 장애인님을 언제 때렸나요?,,1
{tag_place}에서 장애인님이 폭행을 당한 시간대를 알려주세요.,,1
장애인님이 폭행을 당한 시간대를 알려주세요.,,1
장애인님이 {tag_place}에서 언제 폭행을 당한건지 기억나나요?,,0
{tag_people}(이)가 장애인님을 때린 시간대를 말해줄 수 있나요?,,0
{tag_place}에서 장애인님이 폭행을 당한 시간대가 기억나요?,,0
{tag_place}에서 {tag_people}(이)가 때린 시간대를 알려주세요.,,1
{tag_people}(이)가 {tag_place}에서 장애인님을 때린 시간이 언제인가요?,,1
{tag_people}한테 {tag_place}에서 폭행을 당한 시간을 알려주세요.,,1
{tag_people}(이)가 장애인님을 {tag_place}에서 때린 시간대를 알려주세요.,,1
장애인님이 {tag_place}에서 {tag_people}한테 언제 폭행을 당했나요?,,1
장애인님이 {tag_place}에서 {tag_people}에게 언제 폭행을 당했는지 알려줄 수 있나요?,,0
{tag_people}(이)가 장애인님을 언제 폭행했는지 알려줄 수 있나요?,,0
장애인님을 {tag_people}(이)가 {tag_place}에서 폭행한 시간대를 알려줄 수 있나요?,,0
{tag_place}에서 장애인님이 {tag_people}한테 폭행당한 시간을 알려주세요.,,1
